map,wait_time_s,ping,kills,assists,deaths,mvps,hs_percent,points,result
Dust II,163.0,196.0,25.0,5.0,13.0,5.0,28.0,70.0,Win
Dust II,188.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,Win
Dust II,86.0,166.0,14.0,4.0,24.0,0.0,28.0,39.0,Tie
Dust II,167.0,102.0,9.0,0.0,17.0,1.0,0.0,18.0,Lost
Dust II,148.0,94.0,21.0,9.0,24.0,6.0,33.0,62.0,Win
Cache,11.0,91.0,26.0,4.0,16.0,4.0,15.0,62.0,Win
Mirage,19.0,89.0,20.0,7.0,24.0,1.0,20.0,52.0,Tie
Mirage,139.0,92.0,12.0,7.0,19.0,2.0,0.0,41.0,Lost
Mirage,131.0,90.0,16.0,6.0,18.0,2.0,18.0,40.0,Tie
Dust II,142.0,95.0,20.0,4.0,21.0,2.0,35.0,44.0,Lost
Cache,74.0,108.0,19.0,3.0,18.0,3.0,31.0,54.0,Win
Inferno,121.0,0.0,2.0,1.0,2.0,1.0,0.0,5.0,Lost
Dust II,43.0,94.0,13.0,5.0,18.0,3.0,7.0,42.0,Win
Dust II,126.0,97.0,7.0,2.0,14.0,0.0,28.0,18.0,Lost
Mirage,135.0,85.0,17.0,4.0,10.0,3.0,29.0,47.0,Win
Dust II,67.0,95.0,9.0,7.0,19.0,1.0,11.0,33.0,Lost
Dust II,196.0,93.0,19.0,3.0,10.0,2.0,36.0,46.0,Win
Mirage,138.0,90.0,17.0,7.0,26.0,0.0,23.0,45.0,Win
Dust II,129.0,100.0,18.0,3.0,22.0,1.0,27.0,43.0,Lost
Mirage,73.0,95.0,24.0,8.0,20.0,5.0,16.0,73.0,Win
Dust II,149.0,106.0,17.0,3.0,12.0,3.0,29.0,39.0,Win
Dust II,76.0,97.0,17.0,4.0,19.0,4.0,23.0,44.0,Lost
Dust II,46.0,67.0,17.0,5.0,22.0,1.0,11.0,40.0,Lost
Dust II,126.0,68.0,20.0,2.0,21.0,2.0,20.0,45.0,Win
Mirage,44.0,32.0,23.0,13.0,24.0,1.0,21.0,62.0,Tie
Cobblestone,136.0,92.0,13.0,5.0,9.0,3.0,7.0,38.0,Win
Inferno,226.0,90.0,20.0,3.0,19.0,0.0,35.0,46.0,Win
Mirage,317.0,0.0,13.0,4.0,22.0,2.0,7.0,35.0,Lost
Mirage,116.0,91.0,25.0,2.0,21.0,3.0,28.0,57.0,Tie
Mirage,26.0,0.0,18.0,2.0,18.0,4.0,11.0,44.0,Lost
Mirage,197.0,89.0,9.0,1.0,17.0,1.0,0.0,25.0,Lost
Dust II,229.0,94.0,12.0,3.0,19.0,1.0,8.0,34.0,Lost
Dust II,57.0,100.0,20.0,2.0,13.0,3.0,20.0,47.0,Win
Mirage,46.0,93.0,17.0,4.0,24.0,1.0,11.0,44.0,Lost
Dust II,21.0,84.0,14.0,4.0,16.0,2.0,28.0,36.0,Win
Dust II,138.0,89.0,16.0,2.0,9.0,1.0,12.0,42.0,Win
Mirage,70.0,90.0,20.0,9.0,22.0,2.0,15.0,55.0,Lost
Mirage,90.0,91.0,21.0,3.0,18.0,3.0,14.0,58.0,Win
Dust II,89.0,97.0,7.0,5.0,11.0,2.0,28.0,24.0,Win
Dust II,210.0,94.0,26.0,4.0,12.0,5.0,22.0,67.0,Win
Dust II,101.0,94.0,16.0,5.0,19.0,3.0,37.0,42.0,Lost
Dust II,167.0,92.0,25.0,6.0,16.0,6.0,16.0,62.0,Win
Dust II,43.0,93.0,7.0,3.0,18.0,0.0,42.0,17.0,Lost
Mirage,146.0,96.0,10.0,4.0,19.0,1.0,10.0,28.0,Lost
Cache,73.0,90.0,9.0,4.0,17.0,0.0,44.0,26.0,Tie
Cache,48.0,87.0,12.0,2.0,20.0,1.0,16.0,30.0,Lost
Mirage,264.0,94.0,23.0,6.0,19.0,1.0,17.0,58.0,Lost
Cache,98.0,0.0,8.0,2.0,9.0,1.0,37.0,18.0,Lost
Cache,47.0,90.0,18.0,6.0,16.0,2.0,11.0,53.0,Lost
Dust II,13.0,153.0,15.0,5.0,20.0,0.0,40.0,38.0,Lost
Dust II,118.0,86.0,16.0,5.0,18.0,2.0,37.0,38.0,Lost
Dust II,64.0,193.0,23.0,6.0,14.0,4.0,21.0,59.0,Win
Dust II,10.0,91.0,18.0,6.0,23.0,4.0,27.0,46.0,Tie
Cache,42.0,95.0,10.0,7.0,20.0,0.0,20.0,31.0,Lost
Dust II,51.0,93.0,17.0,3.0,19.0,0.0,17.0,38.0,Lost
Dust II,18.0,83.0,15.0,4.0,11.0,3.0,18.0,34.0,Win
Dust II,35.0,96.0,13.0,3.0,26.0,2.0,23.0,37.0,Lost
Inferno,104.0,88.0,10.0,1.0,22.0,0.0,20.0,21.0,Lost
Dust II,28.0,90.0,17.0,5.0,22.0,2.0,23.0,47.0,Tie
Dust II,11.0,89.0,21.0,5.0,19.0,2.0,14.0,54.0,Win
Mirage,16.0,97.0,20.0,8.0,22.0,2.0,15.0,53.0,Tie
Inferno,14.0,99.0,2.0,6.0,20.0,1.0,66.0,16.0,Win
Dust II,30.0,101.0,8.0,1.0,17.0,1.0,12.0,19.0,Lost
Dust II,13.0,98.0,21.0,7.0,16.0,3.0,9.0,54.0,Win
Inferno,10.0,100.0,5.0,3.0,19.0,0.0,20.0,18.0,Lost
Mirage,401.0,68.0,19.0,6.0,26.0,2.0,21.0,55.0,Tie
Dust II,202.0,73.0,17.0,2.0,22.0,4.0,11.0,43.0,Lost
Overpass,255.0,74.0,17.0,4.0,13.0,0.0,17.0,41.0,Win
Austria,156.0,70.0,17.0,4.0,22.0,1.0,35.0,43.0,Lost
Dust II,254.0,35.0,20.0,7.0,19.0,2.0,15.0,47.0,Lost
Mirage,551.0,59.0,11.0,1.0,16.0,1.0,9.0,23.0,Lost
Dust II,165.0,60.0,16.0,10.0,23.0,2.0,25.0,50.0,Win
Dust II,108.0,43.0,12.0,3.0,18.0,2.0,50.0,34.0,Lost
Dust II,245.0,64.0,16.0,4.0,11.0,3.0,25.0,40.0,Win
Dust II,168.0,63.0,11.0,5.0,20.0,0.0,18.0,35.0,Lost
Dust II,167.0,39.0,10.0,1.0,12.0,2.0,20.0,24.0,Win
Dust II,73.0,38.0,17.0,6.0,11.0,2.0,29.0,50.0,Win
Dust II,117.0,39.0,11.0,4.0,21.0,2.0,27.0,28.0,Lost
Dust II,104.0,71.0,16.0,4.0,11.0,2.0,38.0,41.0,Win
Mirage,91.0,42.0,16.0,8.0,15.0,0.0,17.0,46.0,Win
Dust II,266.0,51.0,21.0,7.0,21.0,2.0,38.0,53.0,Tie
Dust II,252.0,42.0,18.0,5.0,17.0,1.0,16.0,46.0,Lost
Dust II,147.0,37.0,17.0,2.0,20.0,2.0,22.0,46.0,Lost
Dust II,166.0,87.0,19.0,5.0,17.0,3.0,26.0,45.0,Win
Dust II,111.0,90.0,14.0,3.0,6.0,2.0,14.0,31.0,Win
Dust II,223.0,118.0,18.0,3.0,17.0,2.0,27.0,41.0,Lost
Dust II,208.0,89.0,9.0,7.0,19.0,2.0,44.0,26.0,Lost
Dust II,188.0,153.0,22.0,4.0,22.0,2.0,27.0,51.0,Lost
Dust II,259.0,86.0,20.0,5.0,21.0,2.0,14.0,51.0,Lost
Mirage,49.0,127.0,10.0,0.0,16.0,1.0,30.0,23.0,Lost
Dust II,303.0,91.0,16.0,2.0,16.0,1.0,12.0,34.0,Lost
Dust II,268.0,81.0,19.0,1.0,20.0,0.0,21.0,42.0,Lost
Dust II,308.0,82.0,13.0,6.0,20.0,1.0,23.0,35.0,Win
Dust II,127.0,85.0,20.0,4.0,14.0,1.0,25.0,48.0,Win
Dust II,40.0,0.0,20.0,3.0,5.0,3.0,35.0,50.0,Win
Dust II,13.0,92.0,13.0,6.0,8.0,1.0,7.0,34.0,Win
Dust II,12.0,91.0,11.0,2.0,17.0,2.0,27.0,29.0,Lost
Mirage,300.0,85.0,12.0,2.0,11.0,3.0,33.0,30.0,Win
Dust II,284.0,81.0,31.0,5.0,17.0,5.0,35.0,74.0,Tie
Dust II,262.0,83.0,16.0,3.0,20.0,2.0,37.0,37.0,Win
Dust II,299.0,85.0,10.0,6.0,21.0,2.0,20.0,33.0,Win
Dust II,222.0,90.0,17.0,4.0,21.0,1.0,35.0,44.0,Lost
Dust II,335.0,87.0,15.0,6.0,24.0,0.0,33.0,38.0,Lost
Mirage,138.0,129.0,15.0,6.0,22.0,2.0,13.0,49.0,Lost
Dust II,303.0,85.0,17.0,2.0,12.0,3.0,23.0,44.0,Win
Dust II,408.0,90.0,15.0,0.0,16.0,3.0,33.0,36.0,Win
Dust II,343.0,95.0,18.0,1.0,16.0,2.0,0.0,50.0,Win
Dust II,14.0,93.0,24.0,6.0,22.0,4.0,25.0,56.0,Tie
Dust II,107.0,86.0,19.0,1.0,21.0,2.0,15.0,48.0,Win
Dust II,288.0,85.0,18.0,9.0,19.0,2.0,22.0,53.0,Lost
Dust II,307.0,82.0,24.0,5.0,19.0,0.0,29.0,62.0,Tie
Dust II,101.0,92.0,12.0,4.0,8.0,0.0,25.0,30.0,Win
Dust II,399.0,94.0,10.0,2.0,16.0,0.0,30.0,23.0,Lost
Mirage,104.0,90.0,12.0,8.0,18.0,4.0,16.0,47.0,Lost
Dust II,32.0,91.0,15.0,6.0,22.0,2.0,33.0,46.0,Lost
Dust II,329.0,108.0,16.0,7.0,16.0,3.0,25.0,43.0,Win
Dust II,341.0,88.0,13.0,3.0,22.0,1.0,30.0,40.0,Lost
Dust II,53.0,85.0,10.0,0.0,2.0,1.0,20.0,20.0,Win
Dust II,109.0,85.0,6.0,2.0,11.0,0.0,16.0,16.0,Lost
Dust II,245.0,88.0,23.0,2.0,12.0,4.0,17.0,57.0,Win
Dust II,208.0,0.0,17.0,2.0,17.0,0.0,23.0,46.0,Lost
Dust II,121.0,89.0,10.0,5.0,20.0,2.0,30.0,29.0,Lost
Mirage,215.0,90.0,6.0,5.0,17.0,0.0,16.0,21.0,Lost
Mirage,29.0,80.0,12.0,3.0,19.0,1.0,23.0,27.0,Lost
Dust II,379.0,87.0,5.0,3.0,18.0,0.0,20.0,13.0,Lost
Dust II,248.0,82.0,18.0,3.0,14.0,1.0,38.0,45.0,Lost
Dust II,393.0,132.0,18.0,5.0,19.0,3.0,22.0,47.0,Lost
Dust II,202.0,82.0,20.0,5.0,22.0,2.0,10.0,52.0,Lost
Dust II,63.0,91.0,17.0,3.0,22.0,4.0,5.0,47.0,Tie
Inferno,50.0,94.0,13.0,2.0,18.0,1.0,15.0,29.0,Lost
Dust II,26.0,89.0,18.0,6.0,23.0,4.0,16.0,43.0,Tie
Inferno,589.0,87.0,17.0,4.0,22.0,2.0,29.0,43.0,Lost
Dust II,29.0,88.0,17.0,4.0,21.0,1.0,5.0,44.0,Lost
Dust II,222.0,80.0,23.0,4.0,14.0,3.0,17.0,54.0,Win
Dust II,10.0,82.0,9.0,5.0,21.0,1.0,0.0,25.0,Lost
Dust II,81.0,82.0,22.0,6.0,18.0,4.0,13.0,54.0,Lost
Dust II,241.0,88.0,10.0,4.0,15.0,1.0,0.0,28.0,Win
Dust II,339.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lost
Dust II,12.0,82.0,18.0,4.0,21.0,1.0,5.0,49.0,Lost
Dust II,73.0,85.0,10.0,3.0,19.0,1.0,30.0,23.0,Lost
Dust II,377.0,79.0,17.0,7.0,17.0,0.0,17.0,49.0,Win
Dust II,89.0,90.0,13.0,3.0,14.0,4.0,30.0,40.0,Win
Mirage,263.0,0.0,16.0,1.0,17.0,1.0,25.0,42.0,Win
Dust II,233.0,91.0,19.0,6.0,23.0,2.0,31.0,56.0,Lost
Dust II,340.0,82.0,13.0,11.0,19.0,2.0,23.0,50.0,Win
Dust II,253.0,90.0,22.0,5.0,20.0,5.0,27.0,61.0,Lost
Dust II,186.0,87.0,10.0,4.0,19.0,2.0,20.0,28.0,Lost
Dust II,44.0,90.0,29.0,5.0,16.0,4.0,20.0,74.0,Win
Dust II,336.0,83.0,11.0,7.0,21.0,0.0,36.0,29.0,Lost
Dust II,54.0,89.0,12.0,3.0,15.0,1.0,33.0,33.0,Lost
Dust II,229.0,0.0,7.0,2.0,8.0,0.0,62.0,16.0,Lost
Dust II,94.0,0.0,14.0,6.0,16.0,0.0,21.0,43.0,Lost
Dust II,327.0,89.0,12.0,0.0,14.0,4.0,8.0,39.0,Win
Dust II,145.0,86.0,16.0,4.0,20.0,2.0,43.0,43.0,Lost
Dust II,316.0,89.0,9.0,0.0,17.0,0.0,20.0,18.0,Lost
Dust II,240.0,93.0,14.0,7.0,21.0,2.0,42.0,40.0,Lost
Dust II,263.0,0.0,3.0,1.0,8.0,0.0,0.0,7.0,Lost
Dust II,269.0,88.0,22.0,9.0,20.0,1.0,22.0,56.0,Lost
Dust II,65.0,79.0,11.0,3.0,12.0,1.0,27.0,34.0,Win
Dust II,283.0,89.0,16.0,2.0,14.0,0.0,43.0,46.0,Win
Dust II,358.0,88.0,16.0,3.0,10.0,4.0,31.0,40.0,Win
Cache,237.0,89.0,13.0,6.0,13.0,1.0,30.0,43.0,Win
Cache,28.0,88.0,8.0,3.0,19.0,1.0,37.0,25.0,Win
Dust II,96.0,83.0,17.0,2.0,17.0,2.0,17.0,44.0,Lost
Dust II,98.0,86.0,11.0,5.0,21.0,0.0,36.0,33.0,Lost
Dust II,372.0,82.0,6.0,5.0,18.0,0.0,16.0,20.0,Lost
Dust II,460.0,88.0,11.0,2.0,14.0,1.0,9.0,33.0,Win
Dust II,392.0,93.0,17.0,3.0,19.0,1.0,5.0,39.0,Lost
Dust II,300.0,90.0,17.0,5.0,20.0,4.0,17.0,43.0,Tie
Dust II,56.0,90.0,20.0,6.0,20.0,4.0,15.0,48.0,Win
Dust II,213.0,376.0,13.0,1.0,22.0,0.0,30.0,28.0,Lost
Dust II,238.0,88.0,23.0,3.0,21.0,2.0,21.0,59.0,Tie
Dust II,80.0,88.0,13.0,2.0,16.0,3.0,15.0,42.0,Win
Mirage,96.0,90.0,20.0,5.0,21.0,1.0,20.0,47.0,Win
Dust II,130.0,92.0,21.0,2.0,18.0,2.0,28.0,53.0,Tie
Dust II,21.0,93.0,13.0,3.0,21.0,2.0,23.0,36.0,Win
Dust II,204.0,86.0,18.0,5.0,20.0,1.0,16.0,44.0,Win
Dust II,356.0,90.0,12.0,4.0,19.0,0.0,8.0,32.0,Lost
Dust II,191.0,95.0,18.0,8.0,21.0,2.0,16.0,49.0,Win
Dust II,293.0,88.0,12.0,6.0,23.0,2.0,16.0,32.0,Lost
Dust II,325.0,90.0,15.0,5.0,22.0,2.0,20.0,46.0,Lost
Dust II,188.0,90.0,8.0,1.0,16.0,1.0,12.0,21.0,Lost
Dust II,45.0,110.0,14.0,4.0,21.0,0.0,28.0,32.0,Win
Dust II,130.0,74.0,13.0,3.0,15.0,1.0,0.0,37.0,Win
Dust II,41.0,129.0,8.0,2.0,18.0,0.0,37.0,20.0,Lost
Dust II,500.0,78.0,11.0,6.0,26.0,0.0,36.0,34.0,Lost
Dust II,142.0,0.0,5.0,3.0,3.0,0.0,60.0,14.0,Win
Dust II,186.0,89.0,13.0,4.0,20.0,1.0,53.0,35.0,Lost
Dust II,277.0,185.0,15.0,1.0,15.0,1.0,40.0,38.0,Win
Dust II,32.0,210.0,13.0,4.0,18.0,0.0,28.0,31.0,Lost
Mirage,258.0,138.0,13.0,1.0,19.0,0.0,7.0,34.0,Lost
Mirage,137.0,119.0,12.0,3.0,5.0,2.0,16.0,27.0,Win
Dust II,172.0,96.0,20.0,4.0,23.0,2.0,5.0,49.0,Lost
Dust II,180.0,115.0,15.0,5.0,7.0,4.0,20.0,45.0,Win
Mirage,85.0,119.0,24.0,6.0,18.0,2.0,16.0,63.0,Win
Dust II,80.0,0.0,1.0,1.0,8.0,0.0,0.0,3.0,Win
Inferno,224.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Lost
Dust II,103.0,116.0,22.0,4.0,21.0,3.0,22.0,58.0,Lost
Dust II,150.0,115.0,34.0,5.0,19.0,4.0,8.0,83.0,Win
Dust II,10.0,92.0,13.0,0.0,21.0,1.0,15.0,30.0,Lost
Dust II,109.0,90.0,24.0,4.0,22.0,2.0,41.0,64.0,Tie
Dust II,11.0,88.0,20.0,7.0,21.0,2.0,20.0,56.0,Win
Dust II,90.0,91.0,19.0,7.0,20.0,2.0,21.0,54.0,Win
Mirage,236.0,115.0,18.0,6.0,19.0,1.0,0.0,47.0,Lost
Dust II,117.0,114.0,12.0,6.0,21.0,2.0,16.0,32.0,Lost
Dust II,11.0,84.0,10.0,4.0,22.0,3.0,60.0,34.0,Lost
Dust II,93.0,87.0,22.0,6.0,8.0,3.0,36.0,62.0,Win
Dust II,241.0,114.0,23.0,3.0,14.0,1.0,34.0,55.0,Win
Dust II,207.0,89.0,15.0,4.0,18.0,0.0,13.0,38.0,Lost
Dust II,158.0,91.0,24.0,6.0,15.0,3.0,20.0,59.0,Win
Dust II,219.0,95.0,7.0,3.0,12.0,1.0,28.0,17.0,Lost
Dust II,388.0,93.0,18.0,2.0,17.0,1.0,27.0,44.0,Win
Overpass,211.0,120.0,13.0,4.0,17.0,3.0,15.0,44.0,Lost
Dust II,300.0,115.0,12.0,3.0,20.0,1.0,25.0,34.0,Tie
Inferno,258.0,126.0,7.0,7.0,20.0,0.0,25.0,23.0,Lost
Dust II,216.0,124.0,16.0,4.0,21.0,3.0,25.0,37.0,Lost
Dust II,215.0,130.0,14.0,2.0,16.0,1.0,28.0,30.0,Lost
Dust II,195.0,128.0,19.0,4.0,17.0,5.0,36.0,57.0,Lost
Dust II,215.0,151.0,8.0,1.0,17.0,0.0,33.0,25.0,Lost
Dust II,257.0,121.0,19.0,5.0,14.0,3.0,30.0,53.0,Win
Dust II,166.0,92.0,9.0,7.0,21.0,1.0,11.0,27.0,Lost
Dust II,192.0,115.0,22.0,3.0,18.0,1.0,9.0,53.0,Lost
Dust II,10.0,89.0,17.0,5.0,11.0,1.0,35.0,50.0,Win
Dust II,12.0,123.0,15.0,1.0,9.0,5.0,33.0,36.0,Win
Dust II,307.0,129.0,12.0,4.0,11.0,2.0,16.0,30.0,Win
Dust II,17.0,94.0,5.0,4.0,16.0,1.0,20.0,21.0,Lost
Dust II,181.0,94.0,17.0,5.0,24.0,2.0,29.0,44.0,Lost
Dust II,106.0,127.0,7.0,6.0,20.0,1.0,28.0,20.0,Lost
Dust II,260.0,134.0,10.0,2.0,18.0,1.0,30.0,26.0,Lost
Dust II,200.0,116.0,15.0,6.0,20.0,1.0,20.0,37.0,Lost
Dust II,44.0,86.0,16.0,3.0,18.0,2.0,6.0,41.0,Win
Dust II,65.0,84.0,9.0,6.0,15.0,1.0,33.0,31.0,Win
Dust II,118.0,118.0,23.0,7.0,22.0,2.0,43.0,55.0,Lost
Dust II,11.0,116.0,9.0,3.0,21.0,0.0,0.0,24.0,Lost
Mirage,10.0,89.0,13.0,6.0,15.0,1.0,7.0,35.0,Win
Overpass,258.0,135.0,12.0,4.0,21.0,1.0,8.0,30.0,Lost
Dust II,236.0,95.0,14.0,7.0,22.0,3.0,26.0,43.0,Tie
Dust II,240.0,354.0,18.0,2.0,17.0,1.0,15.0,55.0,Lost
Cache,22.0,92.0,8.0,3.0,5.0,2.0,25.0,23.0,Win
Dust II,151.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,Lost
Canals,193.0,126.0,15.0,12.0,18.0,1.0,40.0,50.0,Win
Dust II,79.0,121.0,14.0,2.0,17.0,2.0,28.0,35.0,Lost
Cache,199.0,130.0,11.0,4.0,10.0,2.0,27.0,31.0,Win
Dust II,199.0,136.0,14.0,9.0,20.0,0.0,28.0,43.0,Win
Dust II,446.0,103.0,17.0,6.0,17.0,1.0,35.0,44.0,Tie
Dust II,123.0,104.0,11.0,3.0,20.0,1.0,36.0,33.0,Lost
Dust II,31.0,79.0,11.0,8.0,25.0,2.0,25.0,38.0,Tie
Dust II,167.0,303.0,20.0,8.0,23.0,5.0,42.0,58.0,Tie
Dust II,320.0,312.0,8.0,3.0,19.0,0.0,37.0,19.0,Lost
Dust II,204.0,92.0,15.0,4.0,17.0,3.0,53.0,38.0,Lost
Dust II,236.0,290.0,7.0,1.0,9.0,0.0,14.0,15.0,Lost
Mirage,205.0,294.0,7.0,3.0,12.0,1.0,28.0,17.0,Win
Dust II,209.0,136.0,10.0,2.0,19.0,1.0,45.0,31.0,Lost
Dust II,281.0,299.0,8.0,4.0,18.0,1.0,50.0,20.0,Lost
Dust II,365.0,295.0,12.0,6.0,21.0,1.0,41.0,36.0,Win
Dust II,205.0,290.0,15.0,14.0,21.0,2.0,13.0,50.0,Lost
Dust II,209.0,135.0,10.0,0.0,22.0,2.0,10.0,25.0,Lost
Dust II,15.0,86.0,18.0,3.0,21.0,2.0,44.0,50.0,Lost
Dust II,109.0,84.0,26.0,2.0,10.0,6.0,19.0,58.0,Win
Dust II,145.0,302.0,15.0,4.0,16.0,3.0,26.0,40.0,Win
Dust II,151.0,84.0,13.0,5.0,21.0,1.0,38.0,38.0,Lost
Cache,34.0,0.0,12.0,3.0,11.0,3.0,16.0,29.0,Win
Mirage,57.0,125.0,9.0,7.0,20.0,0.0,55.0,27.0,Lost
Mirage,361.0,287.0,20.0,5.0,14.0,3.0,35.0,53.0,Win
Mirage,326.0,81.0,7.0,4.0,18.0,0.0,57.0,18.0,Lost
Cache,258.0,140.0,6.0,12.0,22.0,1.0,50.0,32.0,Lost
Dust II,171.0,94.0,16.0,3.0,24.0,0.0,50.0,37.0,Win
Inferno,26.0,291.0,13.0,4.0,19.0,0.0,30.0,37.0,Lost
Dust II,10.0,92.0,10.0,2.0,9.0,0.0,40.0,25.0,Win
Mirage,134.0,87.0,29.0,5.0,23.0,5.0,31.0,81.0,Lost
Mirage,92.0,384.0,16.0,8.0,19.0,1.0,18.0,51.0,Win
Dust II,98.0,0.0,1.0,2.0,0.0,0.0,100.0,4.0,Win
Dust II,10.0,363.0,11.0,9.0,19.0,1.0,18.0,34.0,Lost
Cobblestone,260.0,211.0,16.0,5.0,21.0,4.0,12.0,48.0,Win
Mirage,262.0,0.0,6.0,0.0,7.0,2.0,16.0,15.0,Win
Dust II,33.0,92.0,11.0,4.0,16.0,0.0,18.0,28.0,Lost
Mirage,8.0,0.0,5.0,0.0,10.0,0.0,40.0,13.0,Lost
Mirage,30.0,129.0,15.0,3.0,20.0,3.0,26.0,36.0,Win
Cache,2.0,97.0,19.0,2.0,18.0,3.0,26.0,48.0,Win
Mirage,5.0,46.0,5.0,4.0,10.0,1.0,40.0,22.0,Win
Mirage,4.0,72.0,17.0,5.0,14.0,2.0,17.0,47.0,Win
Dust II,3.0,48.0,19.0,5.0,17.0,2.0,10.0,47.0,Win
Dust II,5.0,53.0,16.0,4.0,21.0,3.0,31.0,40.0,Lost
Dust II,20.0,48.0,20.0,5.0,23.0,2.0,55.0,54.0,Lost
Inferno,38.0,57.0,13.0,5.0,16.0,3.0,30.0,36.0,Win
Mirage,28.0,40.0,7.0,2.0,4.0,1.0,0.0,25.0,Win
Overpass,51.0,39.0,13.0,0.0,16.0,1.0,23.0,28.0,Lost
Cache,2.0,40.0,26.0,7.0,21.0,2.0,15.0,66.0,Win
Cache,14.0,59.0,26.0,5.0,16.0,3.0,3.0,68.0,Lost
Nuke,2.0,0.0,4.0,2.0,4.0,0.0,50.0,10.0,Win
Inferno,2.0,0.0,14.0,6.0,16.0,3.0,31.0,38.0,Lost
Dust II,4.0,43.0,12.0,4.0,21.0,1.0,16.0,29.0,Lost
Mirage,5.0,41.0,16.0,4.0,17.0,3.0,6.0,45.0,Lost
Mirage,35.0,53.0,17.0,3.0,18.0,3.0,11.0,48.0,Lost
Mirage,4.0,48.0,32.0,7.0,25.0,5.0,31.0,82.0,Tie
Mirage,9.0,42.0,24.0,3.0,8.0,4.0,16.0,64.0,Win
Inferno,22.0,60.0,8.0,7.0,8.0,0.0,20.0,28.0,Win
Mirage,10.0,41.0,11.0,2.0,7.0,2.0,18.0,32.0,Win
Mirage,98.0,41.0,18.0,4.0,20.0,2.0,16.0,53.0,Lost
Mirage,16.0,55.0,16.0,7.0,10.0,4.0,25.0,42.0,Win
Mirage,18.0,41.0,19.0,8.0,20.0,2.0,21.0,52.0,Lost
Dust II,26.0,45.0,3.0,1.0,9.0,0.0,66.0,7.0,Lost
Mirage,140.0,55.0,21.0,7.0,25.0,5.0,33.0,68.0,Lost
Dust II,9.0,59.0,18.0,4.0,23.0,4.0,50.0,44.0,Win
Mirage,5.0,42.0,24.0,2.0,16.0,2.0,20.0,63.0,Win
Mirage,70.0,49.0,27.0,6.0,17.0,2.0,29.0,66.0,Win
Dust II,9.0,49.0,10.0,1.0,17.0,0.0,60.0,21.0,Lost
Dust II,8.0,44.0,15.0,3.0,17.0,3.0,33.0,44.0,Lost
Mirage,14.0,47.0,11.0,4.0,19.0,1.0,9.0,26.0,Lost
Inferno,16.0,56.0,21.0,10.0,20.0,3.0,23.0,60.0,Win
Dust II,36.0,41.0,12.0,1.0,22.0,2.0,0.0,25.0,Lost
Dust II,8.0,43.0,15.0,3.0,10.0,3.0,20.0,33.0,Win
Dust II,8.0,46.0,11.0,5.0,23.0,1.0,18.0,29.0,Lost
Mirage,15.0,41.0,13.0,3.0,11.0,1.0,30.0,32.0,Win
Mirage,38.0,58.0,12.0,1.0,9.0,2.0,16.0,30.0,Win
Dust II,32.0,114.0,9.0,2.0,16.0,1.0,22.0,28.0,Win
Inferno,47.0,39.0,10.0,4.0,22.0,0.0,30.0,30.0,Lost
Mirage,202.0,44.0,23.0,4.0,22.0,2.0,26.0,64.0,Tie
Mirage,3.0,36.0,9.0,3.0,18.0,1.0,11.0,23.0,Lost
Cobblestone,24.0,16.0,7.0,5.0,15.0,2.0,25.0,23.0,Win
Mirage,23.0,29.0,11.0,1.0,8.0,0.0,9.0,29.0,Win
Inferno,63.0,34.0,12.0,3.0,17.0,0.0,25.0,29.0,Lost
Mirage,14.0,15.0,11.0,3.0,9.0,1.0,8.0,28.0,Win
Cache,4.0,29.0,10.0,4.0,17.0,0.0,30.0,31.0,Lost
Inferno,4.0,28.0,21.0,3.0,19.0,2.0,23.0,54.0,Tie
Mirage,2.0,17.0,13.0,2.0,19.0,4.0,23.0,42.0,Win
Mirage,152.0,29.0,16.0,2.0,24.0,1.0,25.0,40.0,Lost
Mirage,143.0,36.0,15.0,3.0,16.0,1.0,40.0,40.0,Win
Dust II,5.0,14.0,22.0,4.0,23.0,0.0,13.0,55.0,Tie
Mirage,6.0,13.0,11.0,5.0,21.0,3.0,16.0,36.0,Tie
Inferno,47.0,14.0,12.0,2.0,14.0,2.0,16.0,36.0,Win
Inferno,8.0,0.0,3.0,0.0,2.0,0.0,33.0,11.0,Win
Inferno,83.0,34.0,16.0,5.0,21.0,0.0,50.0,46.0,Lost
Mirage,18.0,20.0,13.0,5.0,10.0,1.0,23.0,35.0,Win
Mirage,9.0,70.0,19.0,4.0,15.0,2.0,21.0,58.0,Win
Mirage,11.0,14.0,21.0,4.0,19.0,3.0,19.0,54.0,Win
Mirage,11.0,26.0,16.0,1.0,18.0,5.0,18.0,47.0,Win
Dust II,10.0,17.0,12.0,4.0,20.0,2.0,8.0,33.0,Lost
Mirage,14.0,16.0,12.0,2.0,20.0,2.0,25.0,35.0,Lost
Dust II,188.0,90.0,10.0,6.0,13.0,4.0,33.0,40.0,Win
Inferno,10.0,32.0,17.0,1.0,20.0,2.0,35.0,37.0,Lost
Mirage,4.0,13.0,17.0,4.0,23.0,1.0,35.0,53.0,Lost
Dust II,52.0,80.0,14.0,6.0,23.0,2.0,21.0,40.0,Lost
Mirage,11.0,27.0,6.0,3.0,18.0,1.0,25.0,24.0,Lost
